"num","classifier","noun","sent_num","cl_token_num","noun_token_num","file_name","cl_freq_for_noun","cl_prop_for_noun"
"２８","名","研究生",776,28,29,"010801.csv",319,0.518
"２６","个","研究生",777,6,7,"010801.csv",178,0.289
"两","家","银行",784,12,13,"010801.csv",9552,0.881
"５５","个","航班",789,24,25,"010801.csv",4321,0.894
"一","场","梦",814,49,50,"010801.csv",167,0.147
"一","个","美",815,26,27,"010801.csv",165,0.44
"一","名","军官",821,7,24,"010801.csv",542,0.618
"一","份","报告",823,6,7,"010801.csv",8470,0.768
"多","名","游客",828,23,24,"010801.csv",3909,0.826
"７００","名","民众",829,8,10,"010801.csv",493,0.692
"３万","台","手机",841,30,32,"010801.csv",378,0.103
"几","个","场景",858,16,17,"010801.csv",647,0.814
"一","棵","树",867,14,20,"010801.csv",577,0.742
"数","起","案",882,23,26,"010801.csv",460,0.553
"双","位","数字",907,15,16,"010801.csv",854,0.208
"一","个","小组",916,44,46,"010801.csv",5261,0.944
"一","家","公司",923,11,14,"010801.csv",70737,0.854
"一","家","医院",933,22,24,"010801.csv",5183,0.693
"多","个","卫星",933,61,62,"010801.csv",118,0.039
"一","位","患者",933,3,10,"010801.csv",492,0.16
"一","家","医院",935,24,25,"010801.csv",5183,0.693
"一","颗","大小",935,16,18,"010801.csv",28,0.03
"十几","个","病人",938,8,9,"010801.csv",944,0.421
"３","名","脸上",942,10,12,"010801.csv",11,0.204
"一","个","时间",966,17,19,"010801.csv",1598,0.05
"一","件","好事",979,61,62,"010801.csv",1715,0.932
"一","项","活动",979,14,16,"010801.csv",2431,0.325
"两","张","火车票",985,6,7,"010801.csv",198,0.952
"二","个","定员",990,15,17,"010801.csv",3,0.3
"一","个","公厕",1013,45,46,"010801.csv",64,0.221
"一","个","价格",1020,63,67,"010801.csv",1653,0.707
"一","个","指标",1020,55,58,"010801.csv",2162,0.494
"一","个","做法",1021,6,9,"010801.csv",310,0.868
"一","个","市盈率",1026,8,10,"010801.csv",53,0.371
"一","个","方法",1029,12,13,"010801.csv",1599,0.949
"一","个","行业",1029,17,18,"010801.csv",5807,0.892
"一","个","市值",1030,21,26,"010801.csv",88,0.279
"一","个","指标",1030,15,17,"010801.csv",2162,0.494
"三","门","设计",1039,4,5,"010801.csv",90,0.099
"一","个","地方",1060,24,25,"010801.csv",6837,0.876
"两","部","影视剧",1061,23,24,"010801.csv",196,0.966
"一","家","网站",1061,15,17,"010801.csv",3079,0.531
"两","部","作品",1072,20,21,"010801.csv",2783,0.449
"１０","个","账户",1083,46,48,"010801.csv",1160,0.957
"３００","台","机",1092,9,15,"010801.csv",275,0.505
"一","项","举措",1110,12,14,"010801.csv",1462,0.636
"一","个","号码",1123,16,17,"010801.csv",2448,0.842
"一","位","彩民",1124,20,21,"010801.csv",646,0.785
"一","家","公司",1144,5,7,"010801.csv",70737,0.854
"一","个","因素",1146,26,30,"010801.csv",7457,0.929
"一","个","位置",1180,24,26,"010801.csv",2991,0.883
"两","笔","签约",1190,15,16,"010801.csv",26,0.51
"一","笔","交易",1191,10,12,"010801.csv",1239,0.474
"两","家","俱乐部",1191,31,32,"010801.csv",2630,0.63
"一","段","时间",1193,18,20,"010801.csv",29750,0.934
"１７","个","供应",1208,27,31,"010801.csv",175,0.706
"３","名","工人",1213,10,12,"010801.csv",4177,0.738
"８０００多","名","员工",1224,12,13,"010801.csv",7069,0.772
"一","名","工人",1225,13,15,"010801.csv",4177,0.738
"１５","条","线路",1227,4,9,"010801.csv",5094,0.948
"１","条","线路",1228,11,14,"010801.csv",5094,0.948
"３","条","线路",1228,3,14,"010801.csv",5094,0.948
"２","条","线路",1228,7,14,"010801.csv",5094,0.948
"２","条","段",1229,4,17,"010801.csv",20,0.044
"３","名","工人",1230,12,14,"010801.csv",4177,0.738
"一","道","菜",1264,18,20,"010801.csv",414,0.494
"四","个","仪式",1283,32,33,"010801.csv",1283,0.738
"４","个","仪式",1285,10,11,"010801.csv",1283,0.738
"３","个","半",1285,36,37,"010801.csv",6533,0.894
"３","个","展示",1287,8,10,"010801.csv",153,0.841
"四","个","仪式",1288,17,18,"010801.csv",1283,0.738
"四","个","仪式",1296,8,9,"010801.csv",1283,0.738
"三","个","半",1296,14,15,"010801.csv",6533,0.894
"一","个","仪式",1298,12,16,"010801.csv",1283,0.738
"一","个","奥运会",1298,6,7,"010801.csv",862,0.303
"１０","个","人",1299,14,15,"010801.csv",77696,0.793
"一","只","概念股",1309,38,42,"010801.csv",169,0.719
"一","个","消息",1352,4,6,"010801.csv",3950,0.634
"第一","场","盛宴",1364,38,41,"010801.csv",781,0.813
"一","场","浪潮",1365,7,14,"010801.csv",39,0.443
"３０","家","公司",1367,11,12,"010801.csv",70737,0.854
"１７","家","公司",1367,22,23,"010801.csv",70737,0.854
"一","场","游戏",1405,21,22,"010801.csv",471,0.391
"一","个","小子",1460,35,37,"010801.csv",78,0.772
"一","个","父亲",1460,41,45,"010801.csv",569,0.562
"一","个","一生",1470,47,49,"010801.csv",57,0.864
"两","位","明星",1476,2,3,"010801.csv",3556,0.664
"４","个","少年",1485,26,28,"010801.csv",535,0.365
"一","个","人",1487,34,35,"010801.csv",77696,0.793
"４","个","少年",1487,3,4,"010801.csv",535,0.365
"４","个","罪犯",1490,13,15,"010801.csv",47,0.164
"一","个","新闻",1491,13,14,"010801.csv",182,0.129
"一","个","谈资",1491,19,20,"010801.csv",8,0.5
"４","个","孩子",1502,26,27,"010801.csv",15623,0.864
"两","个","女孩",1503,7,8,"010801.csv",5061,0.647
"两","个","女孩",1503,27,28,"010801.csv",5061,0.647
"三","个","家庭",1504,19,20,"010801.csv",6338,0.923
"一","个","孩子",1505,2,3,"010801.csv",15623,0.864
"一","个","知识",1515,4,15,"010801.csv",49,0.527
"一","个","案件",1517,3,4,"010801.csv",525,0.143
"４","个","孩子",1524,17,18,"010801.csv",15623,0.864
"一","个","团伙",1535,35,37,"010801.csv",827,0.937
"两","名","侦查员",1544,21,22,"010801.csv",87,0.806
"两","名","嫌疑人",1551,8,9,"010801.csv",4662,0.955
"两","名","嫌疑人",1553,2,3,"010801.csv",4662,0.955
"两","名","嫌疑人",1555,2,4,"010801.csv",4662,0.955
"两","名","老妇",1558,2,4,"010801.csv",47,0.653
"两","名","民警",1566,6,8,"010801.csv",2869,0.743
"一","张","票",1569,22,23,"010801.csv",2051,0.887
"３","张","哈尔滨",1574,18,23,"010801.csv",5,0.333
"６","名","嫌疑人",1578,4,5,"010801.csv",4662,0.955
"一","个","年代",1588,4,7,"010801.csv",367,0.805
"两","位","领导人",1608,2,4,"010801.csv",516,0.57
"一","个","将军",1615,11,14,"010801.csv",104,0.162
"一","个","人",1617,6,7,"010801.csv",77696,0.793
"第一","个","案例",1631,3,4,"010801.csv",1495,0.816
"一","个","结论",1661,27,30,"010801.csv",958,0.936
"一","个","报告",1665,14,16,"010801.csv",1101,0.1
"一","个","理论",1665,21,27,"010801.csv",260,0.765
